business_id,business_name,business_address,business_city,business_state,business_postal_code,business_latitude,business_longitude,business_location,business_phone_number,inspection_id,inspection_date,inspection_score,inspection_type,violation_id,violation_description,risk_category
63755,Hana Zen Sushi & Yakitori Bar,Pier 39  Space M209,San Francisco,CA,94133,37.80824,-122.410189,"(37.80824, -122.410189)",,63755_20180717,07/17/2018 12:00:00 AM,86,Routine - Unscheduled,63755_20180717_103154,Unclean or degraded floors walls or ceilings,Low Risk
326,TEN ICHI RESTAURANT,2235 FILLMORE St,San Francisco,CA,94115,37.790333,-122.434144,"(37.790333, -122.434144)",,326_20180123,01/23/2018 12:00:00 AM,81,Routine - Unscheduled,326_20180123_103131,Moderate risk vermin infestation,Moderate Risk
1641,MARTHA & BROS. COFFEE CO,1551 Church St,San Francisco,CA,94131,37.745974,-122.426856,"(37.745974, -122.426856)",+14155641166,1641_20180716,07/16/2018 12:00:00 AM,90,Routine - Unscheduled,1641_20180716_103156,Permit license or inspection report not posted,Low Risk
37658,Jack In The Box #556,366 Bayshore Blvd,San Francisco,CA,94124,37.741597,-122.406398,"(37.741597, -122.406398)",,37658_20180612,06/12/2018 12:00:00 AM,88,Routine - Unscheduled,37658_20180612_103154,Unclean or degraded floors walls or ceilings,Low Risk
2649,WAN KEE RESTAURANT,2152 MISSION St,San Francisco,CA,94110,37.762527,-122.419475,"(37.762527, -122.419475)",+14155864138,2649_20180409,04/09/2018 12:00:00 AM,77,Routine - Unscheduled,2649_20180409_103102,Unclean hands or improper use of gloves,High Risk
2070,Street Restaurant,2141 Polk St,San Francisco,CA,94109,37.796327,-122.421911,"(37.796327, -122.421911)",,2070_20180216,02/16/2018 12:00:00 AM,86,Routine - Unscheduled,2070_20180216_103116,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk
7786,DIANDA'S ITAL-AMER.PASTRY CO.,2883 Mission St,San Francisco,CA,94110,37.750959,-122.418264,"(37.750959, -122.418264)",+14155645469,7786_20180612,06/12/2018 12:00:00 AM,88,Routine - Unscheduled,7786_20180612_103131,Moderate risk vermin infestation,Moderate Risk
67237,La Jefa,445 Bayshore Blvd,San Francisco,CA,94107,37.749871,-122.405648,"(37.749871, -122.405648)",+14155329026,67237_20180914,09/14/2018 12:00:00 AM,51,Routine - Unscheduled,67237_20180914_103116,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk
64141,Fresco Pizza and Grill,1338 Polk St,San Francisco,CA,94109,37.789278,-122.420387,"(37.789278, -122.420387)",,64141_20180307,03/07/2018 12:00:00 AM,90,Routine - Unscheduled,64141_20180307_103161,Low risk vermin infestation,Low Risk
3031,Victor's Pizza,1411 Polk St,San Francisco,CA,94109,37.789944,-122.420595,"(37.789944, -122.420595)",,3031_20180827,08/27/2018 12:00:00 AM,87,Routine - Unscheduled,3031_20180827_103108,Contaminated or adulterated food,High Risk
